ID,User ID,Product ID,Subtotal,Tax,Total,Discount ($),Created At,Quantity
15697,2105,1,R$ 44.19,R$ 2.10,R$ 46.29,,13/04/2020,2
12216,1608,177,R$ 128.82,R$ 5.15,R$ 133.97,,13/04/2020,3
7589,1031,70,R$ 57.49,R$ 3.59,R$ 61.08,,13/04/2020,1
9580,1272,165,R$ 38.30,R$ 1.62,R$ 39.92,,13/04/2020,3
6053,816,166,R$ 38.30,R$ 2.30,R$ 40.60,,13/04/2020,2
2296,318,81,R$ 43.93,R$ 1.27,R$ 45.20,,13/04/2020,3
5054,683,136,R$ 105.20,R$ 7.36,R$ 112.56,,13/04/2020,32
7243,981,91,R$ 65.09,R$ -,R$ 65.09,,13/04/2020,2
17140,2284,193,R$ 50.38,R$ 2.77,R$ 53.15,,13/04/2020,3
5949,800,132,R$ 127.88,R$ 5.12,R$ 133.00,,12/04/2020,2
13284,1751,8,R$ 98.84,R$ 3.95,R$ 102.79,,12/04/2020,3
13263,1748,64,R$ 143.42,R$ 5.74,R$ 149.16,,12/04/2020,3
8391,1122,168,R$ 118.93,R$ 7.14,R$ 126.07,,12/04/2020,3
3659,519,125,R$ 80.40,R$ 5.02,R$ 85.42,,12/04/2020,3
10601,1392,146,R$ 126.05,R$ 9.45,R$ 135.50,,12/04/2020,2
5859,794,144,R$ 61.20,R$ 3.67,R$ 64.87,,12/04/2020,2
12672,1674,133,R$ 68.48,R$ 2.74,R$ 71.22,,12/04/2020,2
15201,2039,58,R$ 78.15,R$ 4.49,R$ 82.64,,12/04/2020,3
17377,2317,135,R$ 45.80,R$ 2.98,R$ 48.78,,12/04/2020,4
16125,2148,199,R$ 115.43,R$ 4.88,R$ 120.31,,12/04/2020,2
15314,2053,195,R$ 109.78,R$ 5.49,R$ 115.27,,11/04/2020,2
2973,417,71,R$ 82.80,R$ 5.18,R$ 87.98,,11/04/2020,3
17802,2371,33,R$ 47.74,R$ 2.98,R$ 50.72,,11/04/2020,2
14212,1882,109,R$ 119.05,R$ -,R$ 119.05,,11/04/2020,3
12788,1692,3,R$ 53.08,R$ 3.72,R$ 48.05,R$ 8.75,11/04/2020,3
4462,620,128,R$ 75.08,R$ 4.50,R$ 79.58,,11/04/2020,2
18472,2457,142,R$ 70.35,R$ 3.34,R$ 73.69,,11/04/2020,3
3850,540,19,R$ 64.01,R$ 4.80,R$ 68.81,,11/04/2020,2
13212,1742,26,R$ 68.12,R$ 4.77,R$ 72.89,,11/04/2020,2
4285,597,134,R$ 42.49,R$ -,R$ 42.49,,11/04/2020,2
8780,1175,40,R$ 99.66,R$ 4.48,R$ 104.14,,11/04/2020,3
13236,1746,152,R$ 48.90,R$ 2.93,R$ 51.83,,11/04/2020,3
15855,2118,38,R$ 66.07,R$ 3.63,R$ 69.70,,11/04/2020,2
17217,2290,174,R$ 111.61,R$ 7.25,R$ 118.86,,11/04/2020,2
7260,983,95,R$ 49.82,R$ 2.10,R$ 51.92,,11/04/2020,3
11104,1466,3,R$ 53.08,R$ 3.32,R$ 56.40,,11/04/2020,3
2533,350,101,R$ 139.82,R$ 8.39,R$ 148.21,,11/04/2020,3
13388,1762,35,R$ 71.54,R$ 4.47,R$ 76.01,,11/04/2020,3
2248,313,161,R$ 47.59,R$ -,R$ 47.59,,11/04/2020,3
5273,710,59,R$ 89.20,R$ 6.24,R$ 95.44,,10/04/2020,2
18,3,12,R$ 116.01,R$ 7.98,R$ 123.99,,10/04/2020,2
7422,1009,83,R$ 81.88,R$ 3.68,R$ 85.56,,10/04/2020,1
18562,2468,181,R$ 143.89,R$ 6.19,R$ 148.56,R$ 1.52,10/04/2020,1
17546,2341,31,R$ 105.65,R$ 4.23,R$ 109.88,,10/04/2020,3
3912,549,20,R$ 37.33,R$ 1.87,R$ 39.20,,10/04/2020,2
14356,1908,79,R$ 41.62,R$ 2.50,R$ 44.12,,10/04/2020,3
2776,391,94,R$ 109.22,R$ 3.17,R$ 112.39,,10/04/2020,4
2576,354,157,R$ 139.89,R$ 5.60,R$ 140.01,R$ 5.48,10/04/2020,2
15710,2108,3,R$ 53.08,R$ 2.92,R$ 56.00,,10/04/2020,2
10651,1398,69,R$ 73.39,R$ -,R$ 73.39,,10/04/2020,3
7424,1009,23,R$ 116.87,R$ 5.26,R$ 122.13,,10/04/2020,3
8889,1193,59,R$ 89.20,R$ 4.24,R$ 93.44,,10/04/2020,2
16666,2216,145,R$ 61.20,R$ 3.67,R$ 64.87,,10/04/2020,2
9168,1226,124,R$ 110.93,R$ 6.93,R$ 117.86,,10/04/2020,4
17231,2293,25,R$ 68.62,R$ 2.74,R$ 71.36,,10/04/2020,3
12277,1616,91,R$ 65.09,R$ 3.25,R$ 68.34,,10/04/2020,3
4665,644,44,R$ 76.35,R$ 4.77,R$ 72.97,R$ 8.15,10/04/2020,3
14179,1881,67,R$ 41.24,R$ 1.74,R$ 42.98,,10/04/2020,4
1587,225,79,R$ 41.62,R$ 2.50,R$ 44.12,,10/04/2020,3
16725,2222,181,R$ 143.89,R$ 10.07,R$ 147.02,R$ 6.94,10/04/2020,3
2787,391,58,R$ 78.15,R$ 2.27,R$ 80.42,,09/04/2020,4
9328,1240,87,R$ 117.26,R$ 8.79,R$ 126.05,,09/04/2020,3
7249,981,14,R$ 37.65,R$ -,R$ 37.65,,09/04/2020,4
5338,714,197,R$ 70.15,R$ 4.21,R$ 72.55,R$ 1.81,09/04/2020,2
5452,741,24,R$ 112.31,R$ -,R$ 112.31,,09/04/2020,4
15812,2116,186,R$ 98.98,R$ 6.19,R$ 105.17,,09/04/2020,4
452,63,69,R$ 73.39,R$ 4.40,R$ 77.79,,09/04/2020,2
174,29,190,R$ 128.58,R$ 7.39,R$ 132.89,R$ 3.08,09/04/2020,3
11842,1570,136,R$ 105.20,R$ 4.21,R$ 106.33,R$ 3.09,09/04/2020,4
12948,1708,84,R$ 81.88,R$ 3.28,R$ 85.16,,09/04/2020,2
1374,183,46,R$ 118.05,R$ 7.08,R$ 125.13,,09/04/2020,2
2415,336,30,R$ 64.17,R$ 2.76,R$ 58.93,R$ 8.00,09/04/2020,2
4091,566,61,R$ 23.54,R$ 1.18,R$ 24.72,,09/04/2020,3
5451,741,65,R$ 68.23,R$ -,R$ 59.11,R$ 9.12,09/04/2020,3
3423,489,22,R$ 32.14,R$ 1.93,R$ 31.99,R$ 2.08,09/04/2020,2
18141,2408,124,R$ 110.93,R$ 7.77,R$ 118.70,,09/04/2020,3
7611,1035,176,R$ 57.92,R$ 2.32,R$ 60.24,,09/04/2020,3
12453,1642,192,R$ 69.18,R$ 4.50,R$ 73.68,,09/04/2020,3
10385,1368,47,R$ 84.08,R$ 2.44,R$ 86.52,,09/04/2020,4
14801,1974,12,R$ 116.01,R$ 4.64,R$ 120.65,,09/04/2020,1
16148,2150,9,R$ 87.47,R$ 5.47,R$ 92.94,,09/04/2020,4
6270,848,85,R$ 54.90,R$ 3.84,R$ 58.74,,09/04/2020,3
16473,2191,187,R$ 98.98,R$ 4.70,R$ 103.68,,09/04/2020,2
4380,609,7,R$ 148.23,R$ 7.41,R$ 155.64,,09/04/2020,3
9255,1232,94,R$ 109.22,R$ 4.37,R$ 113.59,,08/04/2020,3
9436,1253,199,R$ 115.43,R$ 7.50,R$ 122.93,,08/04/2020,3
6432,882,155,R$ 43.78,R$ 2.52,R$ 46.30,,08/04/2020,2
4098,567,32,R$ 107.14,R$ 5.36,R$ 112.50,,08/04/2020,3
12835,1697,103,R$ 47.04,R$ 3.53,R$ 50.57,,08/04/2020,3
10492,1382,112,R$ 41.33,R$ 1.65,R$ 42.98,,08/04/2020,3
9539,1269,129,R$ 148.17,R$ 8.89,R$ 157.06,,08/04/2020,2
9526,1268,121,R$ 40.45,R$ 1.62,R$ 42.07,,08/04/2020,3
12372,1632,2,R$ 105.12,R$ 4.99,R$ 106.54,R$ 3.57,08/04/2020,3
15982,2132,20,R$ 37.33,R$ 2.33,R$ 39.66,,08/04/2020,3
16405,2180,5,R$ 124.12,R$ 6.21,R$ 130.33,,08/04/2020,3
399,57,24,R$ 112.31,R$ 6.74,R$ 119.05,,08/04/2020,4
16727,2222,169,R$ 59.53,R$ 4.17,R$ 63.70,,08/04/2020,3
10400,1370,192,R$ 69.18,R$ 2.01,R$ 71.19,,08/04/2020,3
769,100,89,R$ 63.72,R$ 2.55,R$ 66.27,,08/04/2020,2
14568,1945,34,R$ 74.30,R$ 2.97,R$ 77.27,,08/04/2020,3
11995,1587,150,R$ 128.55,R$ 5.14,R$ 133.69,,08/04/2020,4
17937,2386,146,R$ 126.05,R$ 7.25,R$ 133.30,,08/04/2020,3
10581,1390,29,R$ 123.57,R$ 7.11,R$ 130.68,,08/04/2020,3
5169,699,172,R$ 122.37,R$ 7.65,R$ 130.02,,08/04/2020,2
11829,1563,61,R$ 23.54,R$ 1.06,R$ 24.60,,08/04/2020,2
10655,1401,132,R$ 127.88,R$ 7.67,R$ 132.57,R$ 2.98,08/04/2020,2
695,87,73,R$ 71.63,R$ -,R$ 71.63,,07/04/2020,2
12917,1706,137,R$ 67.77,R$ 3.22,R$ 70.99,,07/04/2020,3
16235,2167,72,R$ 142.20,R$ 8.53,R$ 150.73,,07/04/2020,2
2257,313,72,R$ 142.20,R$ -,R$ 142.20,,07/04/2020,2
776,101,28,R$ 68.12,R$ 2.88,R$ 69.23,R$ 1.77,07/04/2020,2
18549,2463,59,R$ 89.20,R$ 5.58,R$ 94.78,,07/04/2020,3
3257,459,86,R$ 92.31,R$ 5.54,R$ 97.85,,07/04/2020,2
2474,342,156,R$ 30.62,R$ 1.91,R$ 32.53,,07/04/2020,3
14779,1972,51,R$ 75.65,R$ 3.03,R$ 78.68,,07/04/2020,1
5046,682,87,R$ 117.26,R$ 7.33,R$ 124.59,,07/04/2020,3
16549,2203,124,R$ 110.93,R$ 4.44,R$ 115.37,,07/04/2020,4
3070,441,47,R$ 84.08,R$ 5.78,R$ 89.86,,07/04/2020,3
2866,404,75,R$ 125.81,R$ 7.55,R$ 133.36,,07/04/2020,2
13553,1785,104,R$ 106.44,R$ 6.12,R$ 112.56,,07/04/2020,3
1882,266,41,R$ 63.51,R$ 3.65,R$ 65.52,R$ 1.64,06/04/2020,3
18554,2464,148,R$ 138.98,R$ 5.56,R$ 144.54,,06/04/2020,2
5717,780,132,R$ 127.88,R$ 5.40,R$ 133.28,,06/04/2020,3
1708,240,66,R$ 136.16,R$ 8.17,R$ 137.07,R$ 7.27,06/04/2020,2
15485,2077,51,R$ 75.65,R$ 4.73,R$ 80.38,,06/04/2020,4
10652,1401,135,R$ 45.80,R$ 2.75,R$ 48.55,,06/04/2020,3
16269,2169,94,R$ 109.22,R$ 3.17,R$ 112.39,,06/04/2020,3
13001,1714,113,R$ 110.48,R$ 4.67,R$ 115.15,,06/04/2020,3
10606,1394,71,R$ 82.80,R$ -,R$ 82.80,,06/04/2020,3
5369,723,163,R$ 33.57,R$ 2.30,R$ 35.87,,06/04/2020,30
17712,2361,116,R$ 114.42,R$ 7.15,R$ 121.57,,06/04/2020,2
4310,604,42,R$ 38.00,R$ -,R$ 38.00,,06/04/2020,3
8004,1073,47,R$ 84.08,R$ 5.78,R$ 89.86,,06/04/2020,3
12436,1640,131,R$ 113.12,R$ 4.52,R$ 117.64,,06/04/2020,2
2634,361,174,R$ 111.61,R$ 5.30,R$ 116.91,,06/04/2020,2
6967,939,12,R$ 116.01,R$ 7.54,R$ 123.55,,06/04/2020,30
98,17,26,R$ 68.12,R$ -,R$ 68.12,,06/04/2020,3
12674,1674,154,R$ 81.88,R$ 3.28,R$ 85.16,,05/04/2020,3
13014,1714,198,R$ 70.15,R$ 2.96,R$ 73.11,,05/04/2020,4
3058,439,160,R$ 47.59,R$ 2.38,R$ 49.97,,05/04/2020,4
12874,1703,139,R$ 76.78,R$ 4.99,R$ 81.77,,05/04/2020,3
16540,2203,129,R$ 148.17,R$ 5.93,R$ 154.10,,05/04/2020,3
8336,1118,65,R$ 68.23,R$ 4.09,R$ 72.32,,05/04/2020,3
2268,313,27,R$ 127.52,R$ -,R$ 127.52,,05/04/2020,2
3994,557,71,R$ 82.80,R$ 5.18,R$ 87.98,,05/04/2020,3
10631,1395,131,R$ 113.12,R$ 4.86,R$ 117.98,,05/04/2020,4
10719,1414,138,R$ 113.95,R$ 7.41,R$ 121.36,,05/04/2020,3
13871,1838,185,R$ 39.58,R$ 1.70,R$ 41.28,,05/04/2020,3
8623,1155,2,R$ 105.12,R$ 6.83,R$ 111.95,,05/04/2020,4
14932,1996,174,R$ 111.61,R$ 7.65,R$ 119.26,,05/04/2020,2
3883,544,158,R$ 139.89,R$ 8.74,R$ 148.63,,05/04/2020,3
937,129,88,R$ 105.41,R$ 6.32,R$ 111.73,,05/04/2020,3
17382,2317,36,R$ 130.94,R$ 8.51,R$ 139.45,,05/04/2020,2
8384,1122,193,R$ 50.38,R$ 3.02,R$ 53.40,,05/04/2020,3
15393,2066,143,R$ 61.20,R$ 3.06,R$ 64.26,,05/04/2020,3
4060,564,25,R$ 68.62,R$ 3.43,R$ 72.05,,04/04/2020,2
10349,1358,86,R$ 92.31,R$ 6.00,R$ 98.31,,04/04/2020,1
14908,1990,103,R$ 47.04,R$ -,R$ 47.04,,04/04/2020,3
8996,1205,118,R$ 57.63,R$ 2.31,R$ 59.94,,04/04/2020,2
14301,1902,11,R$ 132.46,R$ -,R$ 129.23,R$ 3.23,04/04/2020,3
12428,1640,158,R$ 139.89,R$ 5.60,R$ 145.49,,04/04/2020,2
11360,1502,77,R$ 101.02,R$ 5.05,R$ 99.03,R$ 7.04,04/04/2020,3
8266,1109,98,R$ 112.42,R$ 6.75,R$ 119.17,,04/04/2020,2
7458,1014,37,R$ 80.11,R$ 5.51,R$ 85.62,,04/04/2020,4
16860,2245,148,R$ 138.98,R$ 8.69,R$ 147.67,,04/04/2020,4
8478,1130,139,R$ 76.78,R$ 3.07,R$ 79.85,,04/04/2020,3
10420,1375,4,R$ 110.99,R$ 7.77,R$ 118.76,,04/04/2020,3
4018,558,165,R$ 38.30,R$ 1.53,R$ 39.83,,04/04/2020,2
3612,511,124,R$ 110.93,R$ 6.66,R$ 109.93,R$ 7.66,04/04/2020,4
17478,2335,175,R$ 117.32,R$ 8.07,R$ 125.39,,04/04/2020,2
2957,413,139,R$ 76.78,R$ 2.23,R$ 79.01,,04/04/2020,2
161,24,29,R$ 123.57,R$ 8.50,R$ 128.88,R$ 3.19,04/04/2020,2
10075,1329,20,R$ 37.33,R$ 2.57,R$ 39.90,,04/04/2020,4
4936,671,53,R$ 44.28,R$ -,R$ 44.28,,04/04/2020,4
9387,1246,193,R$ 50.38,R$ 3.27,R$ 53.65,,04/04/2020,2
5975,801,84,R$ 81.88,R$ 4.91,R$ 86.79,,04/04/2020,3
13392,1762,60,R$ 29.80,R$ 1.86,R$ 31.66,,03/04/2020,4
1052,148,26,R$ 68.12,R$ 4.77,R$ 72.89,,03/04/2020,4
12657,1674,163,R$ 33.57,R$ 1.34,R$ 34.91,,03/04/2020,2
16371,2179,8,R$ 98.84,R$ 5.93,R$ 104.77,,03/04/2020,2
5097,686,178,R$ 117.33,R$ -,R$ 109.29,R$ 8.04,03/04/2020,4
2822,399,160,R$ 47.59,R$ -,R$ 47.59,,03/04/2020,3
17049,2273,162,R$ 33.57,R$ 1.88,R$ 35.45,,03/04/2020,3
14682,1962,82,R$ 60.90,R$ 2.44,R$ 63.34,,03/04/2020,4
2938,412,48,R$ 123.21,R$ 9.24,R$ 132.45,,03/04/2020,3
1496,215,86,R$ 92.31,R$ 5.77,R$ 98.08,,03/04/2020,2
7487,1019,194,R$ 50.38,R$ 2.52,R$ 52.90,,03/04/2020,2
16843,2244,170,R$ 105.08,R$ 4.20,R$ 109.28,,03/04/2020,3
8548,1141,104,R$ 106.44,R$ 6.39,R$ 112.83,,03/04/2020,2
10058,1328,108,R$ 50.09,R$ 3.01,R$ 53.10,,03/04/2020,2
12447,1641,25,R$ 68.62,R$ 2.74,R$ 71.36,,03/04/2020,3
10010,1322,129,R$ 148.17,R$ 8.89,R$ 157.06,,03/04/2020,2
1963,274,101,R$ 139.82,R$ 6.99,R$ 146.81,,03/04/2020,2
7062,960,135,R$ 45.80,R$ 2.29,R$ 38.58,R$ 9.51,02/04/2020,3
9184,1227,4,R$ 110.99,R$ 4.44,R$ 115.43,,02/04/2020,4
5458,741,123,R$ 110.93,R$ -,R$ 110.93,,02/04/2020,3
7145,969,92,R$ 124.89,R$ 7.49,R$ 126.49,R$ 5.89,02/04/2020,1
2416,336,175,R$ 117.32,R$ 5.04,R$ 122.36,,02/04/2020,2
916,125,47,R$ 84.08,R$ 5.04,R$ 85.71,R$ 3.41,02/04/2020,2
1234,158,36,R$ 130.94,R$ 5.53,R$ 136.47,,02/04/2020,3
5029,681,164,R$ 92.97,R$ -,R$ 92.97,,02/04/2020,2
4592,641,43,R$ 76.35,R$ 4.96,R$ 81.31,,02/04/2020,2
6970,939,142,R$ 70.35,R$ 4.57,R$ 74.92,,02/04/2020,4
8954,1202,121,R$ 40.45,R$ 1.62,R$ 42.07,,02/04/2020,1
2373,329,81,R$ 43.93,R$ 3.08,R$ 47.01,,02/04/2020,2
18212,2417,171,R$ 105.08,R$ 3.05,R$ 108.13,,02/04/2020,3
4052,561,59,R$ 89.20,R$ -,R$ 89.20,,02/04/2020,2
9868,1304,75,R$ 125.81,R$ 7.55,R$ 133.36,,02/04/2020,3
3088,441,35,R$ 71.54,R$ 4.92,R$ 76.46,,02/04/2020,3
10668,1402,16,R$ 66.11,R$ 4.96,R$ 71.07,,02/04/2020,3
14865,1982,135,R$ 45.80,R$ 2.75,R$ 48.55,,02/04/2020,3
7498,1019,150,R$ 128.55,R$ 6.43,R$ 134.98,,02/04/2020,2
16481,2192,6,R$ 97.44,R$ -,R$ 97.44,,02/04/2020,3
9242,1232,111,R$ 55.53,R$ 2.22,R$ 57.75,,02/04/2020,3
18451,2453,116,R$ 114.42,R$ 6.87,R$ 121.29,,02/04/2020,3
625,74,62,R$ 133.52,R$ 9.35,R$ 142.87,,02/04/2020,2
785,101,162,R$ 33.57,R$ 1.42,R$ 34.99,,01/04/2020,4
